OID_,ORIG_FID,ORIG_SEQ,ORIG_FID_1,ORIG_SEQ_1,length_km,Barrier_DNSTR,Shape_Length
185,1,174,174,1,2.313619207374627,,3118.448149093111169
186,1,175,175,1,2.086606810657508,,2811.888155865797671
187,1,176,176,1,0.331528104984409,,446.740139483421672
188,1,177,177,1,5.002195891876305,,6743.510498320273655
189,1,178,178,1,0.000000000000000,,2583.295863206563354
190,1,179,179,1,1.939137341122255,,2613.353744765582633
191,1,180,180,1,2.495922389558297,,3365.992375278384770
192,1,181,181,1,1.306384636511060,,1759.257087173008131
193,1,182,182,1,2.726606212981757,,3674.718975310071528
194,1,183,183,1,2.669029971995366,,3596.282993410053223
195,1,184,184,1,3.252384209895408,,4382.790970408564135
196,1,185,185,1,6.504210679662934,,8764.369420401502794
197,1,186,186,1,3.296971800079849,,4443.574727616874043
198,1,187,187,1,4.549234025215503,,6144.385832399701940
199,1,188,188,1,1.609972797315401,,2172.936992830733288
200,1,189,189,1,1.910355961621017,,2578.446127131720459
201,1,190,190,1,2.495933982285856,,3364.088189679572224
